User ID,Age,Gender,Weight (kg),Height (cm),Activity Level,Goal,Target Weight (kg),Caloric Intake (kcal),Maintenance Calories (kcal),Carbohydrates (gm),Proteins (gm),Fats (gm),Fiber (gm),Dietary Preferences
1,45,Female,92.0587649921851,163,Lightly Active,Lose,55.145999999999994,1540,2117.5,158.8125,211.75,70.58333333333333,105.875,Gluten-Free
2,49,Male,78.46360721114232,193,Lightly Active,Gain,86.946,1152,1584.0,158.4,118.8,52.8,105.6,Gluten-Free
3,48,Male,96.32260671032407,152,Very Active,Gain,49.635999999999996,1398,2656.2,265.62,199.215,88.54,177.07999999999998,Vegetarian
4,35,Female,58.77595812418795,188,Sedentary,Gain,77.89599999999999,1222,1466.3999999999999,146.64,109.97999999999998,48.87999999999999,97.75999999999999,Gluten-Free
5,45,Male,83.3434145007416,193,Sedentary,Maintain,86.946,1220,1464.0,183.0,87.84,53.68,122.0,None
6,22,Female,99.57632682219938,171,Very Active,Maintain,62.425999999999995,1614,3066.6,436.99049999999994,176.3295,95.40533333333333,291.32699999999994,Gluten-Free
7,38,Male,57.070243806312824,190,Very Active,Lose,84.216,858,1630.1999999999998,122.26499999999999,163.01999999999998,54.339999999999996,81.50999999999999,Gluten-Free
8,36,Male,91.5949318935524,182,Moderately Active,Gain,76.93599999999999,1334,2067.7000000000003,206.77000000000004,155.07750000000001,68.92333333333335,137.8466666666667,Vegan
9,60,Male,67.84287644625562,190,Very Active,Gain,84.216,1005,1909.5,190.95,143.2125,63.650000000000006,127.29999999999998,Vegetarian
10,20,Male,78.282850776033,157,Very Active,Lose,54.18599999999999,1153,2190.7,164.3025,219.07,73.02333333333334,109.535,Vegan
11,19,Female,86.52867778831134,169,Very Active,Lose,60.605999999999995,1489,2829.1,212.1825,282.91,94.30333333333334,141.45499999999998,Vegetarian
12,30,Male,61.015680190434175,175,Sedentary,Lose,70.566,913,1095.6,82.17,109.56,36.52,54.78,Vegetarian
